City,Supervisor,Email,Date,TBD,Task Count
Madrid,Samantha Rosales,Silvia Munoz,08/06/23,11.1,0
Madrid,Samantha Rosales,Silvia Munoz,08/07/23,7.1,0
Madrid,Samantha Rosales,Silvia Munoz,08/08/23,19.5,0
Madrid,Samantha Rosales,Silvia Munoz,08/10/23,5.4,0
Madrid,Samantha Rosales,Silvia Munoz,08/11/23,26,0
Madrid,Samantha Rosales,Silvia Munoz,08/14/23,49.9,39
Madrid,Samantha Rosales,Silvia Munoz,08/15/23,37,27
Madrid,Samantha Rosales,Silvia Munoz,08/16/23,21.7,22
Madrid,Samantha Rosales,Silvia Munoz,08/17/23,4,0
Madrid,Samantha Rosales,Silvia Munoz,08/18/23,31.1,1
Madrid,Samantha Rosales,Silvia Munoz,08/21/23,6.6,0
Madrid,Samantha Rosales,Silvia Munoz,08/22/23,4,0
Madrid,Samantha Rosales,Silvia Munoz,08/23/23,184,166
Madrid,Samantha Rosales,Silvia Munoz,08/24/23,11.2,0
Madrid,Samantha Rosales,Silvia Munoz,08/26/23,30.6,4
Madrid,Samantha Rosales,Silvia Munoz,08/27/23,51.8,29
Madrid,Samantha Rosales,Silvia Munoz,08/28/23,1.1,1
Madrid,Samantha Rosales,Silvia Munoz,08/31/23,46.1,1
Managua,Oscar Sanchez,Guillermo Diaz,08/06/23,4.1,3
Managua,Oscar Sanchez,Guillermo Diaz,08/07/23,12.9,12
Managua,Oscar Sanchez,Guillermo Diaz,08/08/23,4.5,5
Managua,Oscar Sanchez,Guillermo Diaz,08/09/23,6.7,7
Managua,Oscar Sanchez,Guillermo Diaz,08/12/23,3.1,3
Managua,Oscar Sanchez,Guillermo Diaz,08/13/23,11.5,11
Managua,Oscar Sanchez,Guillermo Diaz,08/14/23,1.1,1
Managua,Oscar Sanchez,Guillermo Diaz,08/15/23,1.2,1
Managua,Oscar Sanchez,Guillermo Diaz,08/18/23,3.5,2
Managua,Oscar Sanchez,Guillermo Diaz,08/19/23,0,0
Managua,Oscar Sanchez,Guillermo Diaz,08/20/23,0.8,1
Managua,Oscar Sanchez,Guillermo Diaz,08/21/23,14.7,15
Managua,Oscar Sanchez,Guillermo Diaz,08/22/23,3.1,2
Managua,Oscar Sanchez,Guillermo Diaz,08/25/23,12.9,13
Managua,Oscar Sanchez,Guillermo Diaz,08/26/23,1.1,0
Managua,Oscar Sanchez,Guillermo Diaz,08/27/23,6.9,7
Managua,Oscar Sanchez,Guillermo Diaz,08/28/23,14.2,14
Managua,Oscar Sanchez,Guillermo Diaz,08/29/23,4.9,5
Managua,Oscar Sanchez,Guillermo Diaz,08/30/23,8.5,7
Lisboa,Ruben Dlobas,Samuel de Luque,08/08/23,61.6,0
Lisboa,Ruben Dlobas,Samuel de Luque,08/09/23,22,22
Lisboa,Ruben Dlobas,Samuel de Luque,08/10/23,18.8,12
Lisboa,Ruben Dlobas,Samuel de Luque,08/11/23,31.6,31
Lisboa,Ruben Dlobas,Samuel de Luque,08/12/23,16.4,16
Lisboa,Ruben Dlobas,Samuel de Luque,08/15/23,21.4,14
Lisboa,Ruben Dlobas,Samuel de Luque,08/16/23,0.1,0
Lisboa,Ruben Dlobas,Samuel de Luque,08/17/23,40.9,31
Lisboa,Ruben Dlobas,Samuel de Luque,08/18/23,64.1,45
Lisboa,Ruben Dlobas,Samuel de Luque,08/19/23,24.1,22
Lisboa,Ruben Dlobas,Samuel de Luque,08/22/23,26.6,25
Lisboa,Ruben Dlobas,Samuel de Luque,08/23/23,42.1,36
Lisboa,Ruben Dlobas,Samuel de Luque,08/24/23,26.7,18
Lisboa,Ruben Dlobas,Samuel de Luque,08/25/23,57.7,43
Lisboa,Ruben Dlobas,Samuel de Luque,08/26/23,22,19
Lisboa,Ruben Dlobas,Samuel de Luque,08/27/23,374.9,343
Lisboa,Ruben Dlobas,Samuel de Luque,08/29/23,13.1,9
Lisboa,Ruben Dlobas,Samuel de Luque,08/30/23,25.2,18
Lisboa,Ruben Dlobas,Samuel de Luque,08/31/23,26.6,27
Tegucigalpa,Luis Altamirano,Maria Salgado,08/06/23,56.2,22
Tegucigalpa,Luis Altamirano,Maria Salgado,08/07/23,63.6,11
Tegucigalpa,Luis Altamirano,Maria Salgado,08/08/23,28,7
Tegucigalpa,Luis Altamirano,Maria Salgado,08/09/23,179.8,107
Tegucigalpa,Luis Altamirano,Maria Salgado,08/14/23,10.1,0
Tegucigalpa,Luis Altamirano,Maria Salgado,08/15/23,16.4,7
Tegucigalpa,Luis Altamirano,Maria Salgado,08/19/23,54.9,43
Tegucigalpa,Luis Altamirano,Maria Salgado,08/20/23,52.3,31
Tegucigalpa,Luis Altamirano,Maria Salgado,08/21/23,27.6,2
Tegucigalpa,Luis Altamirano,Maria Salgado,08/22/23,44.3,0
Tegucigalpa,Luis Altamirano,Maria Salgado,08/23/23,48.5,21
Tegucigalpa,Luis Altamirano,Maria Salgado,08/26/23,11.3,4
Tegucigalpa,Luis Altamirano,Maria Salgado,08/27/23,13.7,0
Tegucigalpa,Luis Altamirano,Maria Salgado,08/28/23,18.9,6
Tegucigalpa,Luis Altamirano,Maria Salgado,08/29/23,61.8,62
Tegucigalpa,Luis Altamirano,Maria Salgado,08/30/23,57.1,1
